,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Nearest_elementIds,Nearest_elementIds_count,Distance_to_nearest,Distance_to_nearest_mi,Distance_to_nearest_mean,Distance_to_nearest_ma
46,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997119,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36ff,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.258, 2.789, 2.528, 3.288, 9.926, 3.3, 9.993, 9.314, 1.983]",1.983,5.82,9.993
47,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997120,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f3700,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.108, 1.823, 2.677, 4.253, 10.16, 4.265, 9.972, 9.302, 2.208]",1.823,5.974,10.16
48,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997121,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f3701,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.258, 1.949, 2.528, 4.128, 10.243, 4.14, 10.098, 9.426, 2.267]",1.949,6.004,10.243
49,857292,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14cc,674370,89b7d9e7-00a9-45d9-8498-e33a7de65df7-000a4a42,"[424922, 425745, 977133, 428745, 845266]",5,"[0.51, 0.302, 1.865, 1.865, 1.874]",0.302,1.283,1.874
50,857346,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1502,935747,111f9a9a-997b-4ec8-8a29-3d1f7a7179e8-000e4743,"[422243, 906885, 424922, 845266]",4,"[1.398, 0.57, 0.401, 0.958]",0.401,0.832,1.398
51,857346,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1502,936823,bac06658-19d8-494b-b87a-559081499f8f-000e4b77,"[422243, 906885, 424922, 845266]",4,"[0.37, 0.16, 1.429, 1.368]",0.16,0.832,1.429
52,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,701300,4d910c58-706e-42b1-84e9-2f2677773ae0-000ab374,"[427092, 977133, 849032, 704275, 655533]",5,"[3.0, 10.52, 3.0, 1.187, 1.2]",1.187,3.781,10.52
53,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,735739,57f8477a-60e4-4504-911c-957c1b7fc5d4-000b39fb,"[427092, 977133, 849032, 704275, 655533]",5,"[4.729, 5.18, 1.271, 6.528, 6.54]",1.271,4.85,6.54
54,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,736435,80c6b7e4-2dd7-4a4e-ae16-489c86c3eac2-000b3cb3,"[427092, 977133, 849032, 704275, 655533]",5,"[4.729, 6.34, 1.271, 5.368, 5.38]",1.271,4.618,6.34
55,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,757198,df146ad3-a574-4183-b3dd-a6f6589001b3-000b8dce,"[427092, 977133, 849032, 704275, 655533]",5,"[1.602, 7.558, 4.398, 4.289, 4.301]",1.602,4.43,7.558
56,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,767797,c82e0dd9-31e8-407e-a294-c30431c2fda3-000bb735,"[427092, 977133, 849032, 704275, 655533]",5,"[4.398, 7.419, 1.602, 4.289, 4.301]",1.602,4.402,7.419
57,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,767856,c82e0dd9-31e8-407e-a294-c30431c2fda3-000bb770,"[427092, 977133, 849032, 704275, 655533]",5,"[1.602, 6.365, 4.398, 5.508, 5.52]",1.602,4.679,6.365
58,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,767857,c82e0dd9-31e8-407e-a294-c30431c2fda3-000bb771,"[427092, 977133, 849032, 704275, 655533]",5,"[4.398, 6.2, 1.602, 5.508, 5.52]",1.602,4.646,6.2
59,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,767870,c82e0dd9-31e8-407e-a294-c30431c2fda3-000bb77e,"[427092, 977133, 849032, 704275, 655533]",5,"[1.602, 6.712, 4.398, 5.152, 5.165]",1.602,4.606,6.712
60,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,767871,c82e0dd9-31e8-407e-a294-c30431c2fda3-000bb77f,"[427092, 977133, 849032, 704275, 655533]",5,"[4.398, 6.555, 1.602, 5.152, 5.165]",1.602,4.574,6.555
61,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,767916,c82e0dd9-31e8-407e-a294-c30431c2fda3-000bb7ac,"[427092, 977133, 849032, 704275, 655533]",5,"[1.602, 5.526, 4.398, 6.372, 6.385]",1.602,4.857,6.385
62,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,767917,c82e0dd9-31e8-407e-a294-c30431c2fda3-000bb7ad,"[427092, 977133, 849032, 704275, 655533]",5,"[4.398, 5.335, 1.602, 6.372, 6.385]",1.602,4.818,6.385
63,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,981963,6b947320-bbcc-4f13-964d-b6403cf5dd5c-000efbcb,"[427092, 977133, 849032, 704275, 655533]",5,"[0.7, 6.625, 5.3, 5.508, 5.52]",0.7,4.731,6.625
64,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,982762,6b947320-bbcc-4f13-964d-b6403cf5dd5c-000efeea,"[427092, 977133, 849032, 704275, 655533]",5,"[3.0, 5.74, 3.0, 5.968, 5.98]",3.0,4.738,5.98
65,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,983030,99975ae8-4923-4142-9a90-6d9603fcba60-000efff6,"[427092, 977133, 849032, 704275, 655533]",5,"[3.0, 5.09, 3.0, 6.618, 6.63]",3.0,4.868,6.63
66,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,983156,99975ae8-4923-4142-9a90-6d9603fcba60-000f0074,"[427092, 977133, 849032, 704275, 655533]",5,"[3.0, 4.44, 3.0, 7.268, 7.28]",3.0,4.998,7.28
67,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,983164,99975ae8-4923-4142-9a90-6d9603fcba60-000f007c,"[427092, 977133, 849032, 704275, 655533]",5,"[3.0, 3.79, 3.0, 7.918, 7.93]",3.0,5.128,7.93
68,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,983236,99975ae8-4923-4142-9a90-6d9603fcba60-000f00c4,"[427092, 977133, 849032, 704275, 655533]",5,"[3.65, 3.79, 2.35, 7.918, 7.93]",2.35,5.128,7.93
69,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,983306,99975ae8-4923-4142-9a90-6d9603fcba60-000f010a,"[427092, 977133, 849032, 704275, 655533]",5,"[3.65, 3.14, 2.35, 8.568, 8.58]",2.35,5.258,8.58
70,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,983388,99975ae8-4923-4142-9a90-6d9603fcba60-000f015c,"[427092, 977133, 849032, 704275, 655533]",5,"[3.65, 2.49, 2.35, 9.218, 9.23]",2.35,5.388,9.23
71,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,984486,99975ae8-4923-4142-9a90-6d9603fcba60-000f05a6,"[427092, 977133, 849032, 704275, 655533]",5,"[4.521, 0.27, 1.479, 11.437, 11.45]",0.27,5.831,11.45
72,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,985756,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f0a9c,"[427092, 977133, 849032, 704275, 655533]",5,"[4.521, 0.105, 1.479, 11.603, 11.615]",0.105,5.865,11.615
73,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,987054,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f0fae,"[427092, 977133, 849032, 704275, 655533]",5,"[1.24, 4.218, 4.76, 7.888, 7.9]",1.24,5.201,7.9
74,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,987167,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f101f,"[427092, 977133, 849032, 704275, 655533]",5,"[1.241, 8.45, 4.759, 3.453, 3.465]",1.241,4.274,8.45
