,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Door_width,Door_height,Nearest_elementIds,ElementId_hor,ElementId_vert,Distance_to_edges_hor,Distance_to_edges_vert,Distance_to_edges_mi,Distance_to_edges_mean,Distance_to_edges_ma,ElementId_next_door,Distance_to_next_door_min
54,3431489,9cf76385-c087-44ac-94ef-586873199046-00345c41,3391903,50fd8e28-0912-4de4-a3f3-5422ff4df404-0033c19f,0.7,2.1,"[2342938, 3145976, 3305448, 3184198]","[3305448, 3184198]","[2342938, 3145976]","[6.27, 6.2]","[1.159, 2.079]",1.159,3.93,6.27,3392517,1.91
55,3431489,9cf76385-c087-44ac-94ef-586873199046-00345c41,3392517,50fd8e28-0912-4de4-a3f3-5422ff4df404-0033c405,0.7,2.1,"[2342938, 3145976, 3305448, 3184198]","[3305448, 3184198]","[2342938, 3145976]","[8.88, 3.59]","[1.159, 2.079]",1.159,3.93,8.88,3392608,1.5
56,3431489,9cf76385-c087-44ac-94ef-586873199046-00345c41,3392608,50fd8e28-0912-4de4-a3f3-5422ff4df404-0033c460,0.7,2.1,"[2342938, 3145976, 3305448, 3184198]","[3305448, 3184198]","[2342938, 3145976]","[11.08, 1.39]","[1.159, 2.079]",1.159,3.93,11.08,3392517,1.5
57,3431492,9cf76385-c087-44ac-94ef-586873199046-00345c44,3560907,88cd8c80-9995-4651-9869-f5c82e340e91-003655cb,0.7,2.1,"[2342938, 3145976, 3195841, 3146018]","[3195841, 3146018]","[2342938, 3145976]","[5.56, 1.31]","[1.159, 2.079]",1.159,2.53,5.56,,0.0
58,3431493,9cf76385-c087-44ac-94ef-586873199046-00345c45,3146014,3db84829-6386-4fa8-8eda-0e5dc9a25e67-0030011e,0.7,2.1,"[2342938, 3145976, 3146181, 3381760]","[3146181, 3381760]","[2342938, 3145976]","[1.11, 1.0]","[1.113, 2.125]",1.0,1.34,2.125,,0.0
59,3431494,9cf76385-c087-44ac-94ef-586873199046-00345c46,3145993,3db84829-6386-4fa8-8eda-0e5dc9a25e67-00300109,0.7,2.1,"[2342938, 3145976, 3381760, 3146181]","[3381760, 3146181]","[2342938, 3145976]","[1.0, 1.11]","[1.113, 2.125]",1.0,1.34,2.125,,0.0
60,3431496,9cf76385-c087-44ac-94ef-586873199046-00345c48,3554109,fbd3ba4b-02e6-4a2a-84e8-45a156c96b7a-00363b3d,0.8,2.1,"[2342938, 3145976, 3146161, 3381760]","[3146161, 3381760]","[2342938, 3145976]","[1.48, 4.7]","[1.113, 2.125]",1.113,2.35,4.7,,0.0
61,3431497,9cf76385-c087-44ac-94ef-586873199046-00345c49,3146038,3db84829-6386-4fa8-8eda-0e5dc9a25e67-00300136,0.7,2.1,"[2342938, 3145976, 3146044, 3146165]","[3146044, 3146165]","[2342938, 3145976]","[1.66, 6.64]","[1.113, 2.125]",1.113,2.88,6.64,,0.0
62,3431498,9cf76385-c087-44ac-94ef-586873199046-00345c4a,3146036,3db84829-6386-4fa8-8eda-0e5dc9a25e67-00300134,0.7,2.1,"[2342938, 3145976, 3146040, 3146044]","[3146040, 3146044]","[2342938, 3145976]","[1.71, 6.34]","[1.113, 2.125]",1.113,2.82,6.34,,0.0
63,3431499,9cf76385-c087-44ac-94ef-586873199046-00345c4b,3146034,3db84829-6386-4fa8-8eda-0e5dc9a25e67-00300132,0.7,2.1,"[2342938, 3145976, 3145997, 3146040]","[3145997, 3146040]","[2342938, 3145976]","[1.87, 6.3]","[1.113, 2.125]",1.113,2.85,6.3,,0.0
64,3431500,9cf76385-c087-44ac-94ef-586873199046-00345c4c,3394648,50fd8e28-0912-4de4-a3f3-5422ff4df404-0033cc58,0.7,2.1,"[2342938, 3145976, 3577608, 3146185]","[3577608, 3146185]","[2342938, 3145976]","[4.07, 1.53]","[1.113, 2.125]",1.113,2.21,4.07,3394711,1.87
65,3431500,9cf76385-c087-44ac-94ef-586873199046-00345c4c,3394711,50fd8e28-0912-4de4-a3f3-5422ff4df404-0033cc97,0.7,2.1,"[2342938, 3145976, 3577608, 3146185]","[3577608, 3146185]","[2342938, 3145976]","[1.5, 4.1]","[1.113, 2.125]",1.113,2.21,4.1,3394648,1.87
66,3431503,9cf76385-c087-44ac-94ef-586873199046-00345c4f,3429957,bdfe10a9-cc3a-4d49-9ab7-dfdbee303133-00345645,0.7,2.1,"[2342938, 3145976, 3145983, 3195841]","[3145983, 3195841]","[2342938, 3145976]","[1.65, 0.93]","[1.159, 2.079]",0.93,1.45,2.079,,0.0
67,3431504,9cf76385-c087-44ac-94ef-586873199046-00345c50,3146168,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003001b8,0.7,2.1,"[2342938, 3145976, 3146161, 3388783]","[3146161, 3388783]","[2342938, 3145976]","[1.48, 2.79]","[1.113, 2.125]",1.113,1.88,2.79,,0.0
68,3431508,9cf76385-c087-44ac-94ef-586873199046-00345c54,3305455,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00326fef,0.7,2.1,"[2342938, 3145976, 3145953, 3146053]","[3145953, 3146053]","[2342938, 3145976]","[10.28, 0.66]","[1.113, 2.125]",0.66,3.54,10.28,3305456,7.955
69,3431508,9cf76385-c087-44ac-94ef-586873199046-00345c54,3305456,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00326ff0,0.7,2.1,"[2342938, 3145976, 3145953, 3146053]","[3145953, 3146053]","[2342938, 3145976]","[2.36, 8.58]","[1.113, 2.125]",1.113,3.54,8.58,3305455,7.955
70,3431508,9cf76385-c087-44ac-94ef-586873199046-00345c54,3426981,4c2a1eb9-45b5-44c1-943e-caf842318fd8-00344aa5,0.7,2.1,"[2342938, 3145976, 3145953, 3146053]","[3145953, 3146053]","[2342938, 3145976]","[1.66, 9.28]","[1.113, 2.125]",1.113,3.54,9.28,,0.0
71,3431513,9cf76385-c087-44ac-94ef-586873199046-00345c59,3179316,be10110b-b6f2-4065-9867-8ca099f36b0e-00308334,0.7,2.1,"[2442208, 2342938, 3179484, 3179317]","[3179484, 3179317]","[2442208, 2342938]","[0.32, 1.7]","[1.113, 2.125]",0.32,1.31,2.125,,0.0
72,3431515,9cf76385-c087-44ac-94ef-586873199046-00345c5b,3554114,fbd3ba4b-02e6-4a2a-84e8-45a156c96b7a-00363b42,0.8,2.1,"[2442208, 2342938, 3179470, 3194971]","[3179470, 3194971]","[2442208, 2342938]","[1.48, 4.7]","[1.113, 2.125]",1.113,2.35,4.7,,0.0
73,3431516,9cf76385-c087-44ac-94ef-586873199046-00345c5c,3179351,be10110b-b6f2-4065-9867-8ca099f36b0e-00308357,0.7,2.1,"[2442208, 2342938, 3179355, 3179474]","[3179355, 3179474]","[2442208, 2342938]","[1.66, 6.64]","[1.113, 2.125]",1.113,2.88,6.64,,0.0
74,3431517,9cf76385-c087-44ac-94ef-586873199046-00345c5d,3179350,be10110b-b6f2-4065-9867-8ca099f36b0e-00308356,0.7,2.1,"[2442208, 2342938, 3179353, 3179355]","[3179353, 3179355]","[2442208, 2342938]","[1.66, 6.34]","[1.113, 2.125]",1.113,2.81,6.34,,0.0
75,3431518,9cf76385-c087-44ac-94ef-586873199046-00345c5e,3179315,be10110b-b6f2-4065-9867-8ca099f36b0e-00308333,0.7,2.1,"[2442208, 2342938, 3194971, 3179484]","[3194971, 3179484]","[2442208, 2342938]","[1.0, 1.11]","[1.113, 2.125]",1.0,1.34,2.125,,0.0
