,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Parallel_floor_id,Parallel_floors_count,Distance_max
105,3431502,9cf76385-c087-44ac-94ef-586873199046-00345c4e,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
106,3431503,9cf76385-c087-44ac-94ef-586873199046-00345c4f,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
107,3431503,9cf76385-c087-44ac-94ef-586873199046-00345c4f,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
108,3431504,9cf76385-c087-44ac-94ef-586873199046-00345c50,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
109,3431504,9cf76385-c087-44ac-94ef-586873199046-00345c50,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
110,3431505,9cf76385-c087-44ac-94ef-586873199046-00345c51,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
111,3431505,9cf76385-c087-44ac-94ef-586873199046-00345c51,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
112,3431507,9cf76385-c087-44ac-94ef-586873199046-00345c53,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
113,3431507,9cf76385-c087-44ac-94ef-586873199046-00345c53,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
114,3431508,9cf76385-c087-44ac-94ef-586873199046-00345c54,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
115,3431508,9cf76385-c087-44ac-94ef-586873199046-00345c54,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
116,3431513,9cf76385-c087-44ac-94ef-586873199046-00345c59,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
117,3431513,9cf76385-c087-44ac-94ef-586873199046-00345c59,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
118,3431514,9cf76385-c087-44ac-94ef-586873199046-00345c5a,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
119,3431514,9cf76385-c087-44ac-94ef-586873199046-00345c5a,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
120,3431515,9cf76385-c087-44ac-94ef-586873199046-00345c5b,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
121,3431515,9cf76385-c087-44ac-94ef-586873199046-00345c5b,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
122,3431516,9cf76385-c087-44ac-94ef-586873199046-00345c5c,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
123,3431516,9cf76385-c087-44ac-94ef-586873199046-00345c5c,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
124,3431517,9cf76385-c087-44ac-94ef-586873199046-00345c5d,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
125,3431517,9cf76385-c087-44ac-94ef-586873199046-00345c5d,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
126,3431518,9cf76385-c087-44ac-94ef-586873199046-00345c5e,2442208,00452c3a-4560-4f27-a467-2df06222d0a8-002543e0,[2342938],1,3.2
127,3431518,9cf76385-c087-44ac-94ef-586873199046-00345c5e,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[2442208],1,3.2
