,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Nearest_elementIds,Distance_to_nearest
31,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990648,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1db8,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[8.64, 3.53, 3.15, 2.55, 9.1, 2.56, 9.34, 8.66, 1.41]"
32,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,993980,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f2abc,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[5.64, 3.31, 6.15, 2.77, 6.39, 2.78, 6.35, 5.67, 1.67]"
33,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,994782,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f2dde,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.69, 4.34, 2.1, 1.73, 9.93, 1.75, 10.39, 9.73, 2.7]"
34,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,996881,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f3611,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.54, 4.23, 2.25, 1.85, 9.8, 1.86, 10.24, 9.58, 2.51]"
35,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997032,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36a8,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.69, 3.52, 2.1, 2.55, 10.11, 2.57, 10.39, 9.71, 2.43]"
36,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997033,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36a9,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.54, 3.41, 2.25, 2.67, 10.0, 2.68, 10.24, 9.56, 2.26]"
37,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997050,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36ba,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.69, 2.64, 2.1, 3.43, 10.38, 3.45, 10.43, 9.76, 2.43]"
38,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997051,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36bb,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.54, 2.53, 2.25, 3.55, 10.28, 3.56, 10.3, 9.62, 2.31]"
39,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997068,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36cc,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.69, 1.82, 2.1, 4.25, 10.69, 4.27, 10.54, 9.87, 2.7]"
40,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997069,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36cd,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.54, 1.71, 2.25, 4.37, 10.6, 4.38, 10.42, 9.75, 2.63]"
41,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997114,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36fa,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.11, 4.34, 2.68, 1.73, 9.36, 1.75, 9.81, 9.15, 2.2]"
42,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997115,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36fb,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.24, 4.49, 2.55, 1.59, 9.46, 1.6, 9.94, 9.3, 2.39]"
43,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997116,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36fc,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.11, 3.52, 2.68, 2.55, 9.56, 2.57, 9.81, 9.13, 1.86]"
44,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997117,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36fd,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.26, 3.63, 2.53, 2.45, 9.67, 2.46, 9.96, 9.28, 2.03]"
45,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997118,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36fe,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.11, 2.64, 2.68, 3.43, 9.84, 3.45, 9.86, 9.18, 1.86]"
