,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Type,Normal_to_center_room
51,857209,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1479,243274,a6aa132d-ccd7-408f-b2f9-ed67350c8c3a-0003b64a,SG Metal Panels roof,"(0.000000000, -0.693290273, 0.720658447)"
52,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,176804,203cff26-4c9d-4eb4-93e5-28d28a01f256-0002b2a4,Generic 150mm,"(0.000000000, 0.000000000, -1.000000000)"
53,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,198749,ef57b02a-5e81-49e7-93bb-ae5f002d921c-0003085d,Wall - Timber Clad,"(1.000000000, 0.000000000, 0.000000000)"
54,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,977377,ab343b7e-3705-4b87-bacc-33c06a6cee1d-000ee9e1,SH_Curtain wall,"(0.000000000, 1.000000000, 0.000000000)"
55,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,847436,98e2f96c-ccbd-4abb-a697-e7e5136106ee-000cee4c,SH_Curtain wall,"(-1.000000000, 0.000000000, 0.000000000)"
56,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,846939,98e2f96c-ccbd-4abb-a697-e7e5136106ee-000cec5b,SH_Curtain wall,"(0.000000000, -1.000000000, 0.000000000)"
57,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,977133,ab343b7e-3705-4b87-bacc-33c06a6cee1d-000ee8ed,Cavity wall_sliders,"(0.000000000, -1.000000000, 0.000000000)"
58,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,428745,c85e5be0-d8d5-4148-836f-b55e711ef373-00068ac9,SIP 202mm Wall - conc clad,"(0.000000000, -1.000000000, 0.000000000)"
59,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,425745,7fcc8dca-3132-4323-9d41-faf5184b4f26-00067f11,Interior - 165 Partition (1-hr),"(1.000000000, 0.000000000, 0.000000000)"
60,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,424922,59371552-5800-43eb-9ba3-609565158fc5-00067bda,Interior - 165 Partition (1-hr),"(0.000000000, 1.000000000, 0.000000000)"
