,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Width,Height,Perpendicular_walls_id,Perpendicular_walls_count,Parallel_walls_id,Parallel_walls_count,Distance_to_parall,Distance_to_parall_mi,Distance_to_parall_mean,Distance_to_parall_ma,Nearest_walls_id,Angles_to_walls,Angles_to_walls_mi,Angles_to_walls_mean,Angles_to_walls_ma
93,393676,69a69155-af3a-4ab9-a082-58da18f85acb-000601cc,373937,69a69155-af3a-4ab9-a082-58da18f85acb-0005b4b1,0.2,4.000000000000049,"[349712, 349688, 349629, 387393, 373934, None]",6,"[None, None, None, None, None, 349630]",6,"[None, None, None, None, None, 6.1]",6.1,6.1,6.1,"[None, None, 349629, 387393, 373934, None]","[90, 90, 90, 90, 90, 0]",0,75,90
94,393676,69a69155-af3a-4ab9-a082-58da18f85acb-000601cc,387393,69a69155-af3a-4ab9-a082-58da18f85acb-0005e941,0.2,4.000000000000049,"[349712, 349688, None, 373937, 349630]",5,"[None, None, 349629, None, None]",5,"[None, None, 2.8, None, None]",2.8,2.8,2.8,"[None, None, None, 373937, 349630]","[90, 90, 0, 90, 90]",0,72,90
95,393676,69a69155-af3a-4ab9-a082-58da18f85acb-000601cc,373934,69a69155-af3a-4ab9-a082-58da18f85acb-0005b4ae,0.2,4.000000000000049,"[349712, 349688, None, 373937, 349630]",5,"[None, None, 349629, None, None]",5,"[None, None, 2.8, None, None]",2.8,2.8,2.8,"[None, None, None, 373937, 349630]","[90, 90, 0, 90, 90]",0,72,90
96,393676,69a69155-af3a-4ab9-a082-58da18f85acb-000601cc,349630,69a69155-af3a-4ab9-a082-58da18f85acb-000555be,0.29999999999999993,4.000000000000049,"[349712, 349688, 349629, None, 387393, 373934]",6,"[None, None, None, 373937, None, None]",6,"[None, None, None, 6.1, None, None]",6.1,6.1,6.1,"[None, None, 349629, None, 387393, 373934]","[90, 90, 90, 0, 90, 90]",0,75,90
97,393677,69a69155-af3a-4ab9-a082-58da18f85acb-000601cd,349627,69a69155-af3a-4ab9-a082-58da18f85acb-000555bb,0.29999999999999993,4.000000000000049,"[349712, 349688, 349630, None, 373939]",5,"[None, None, None, 373938, None]",5,"[None, None, None, 2.579, None]",2.579,2.579,2.579,"[None, None, 349630, None, 373939]","[90, 90, 90, 0, 90]",0,72,90
98,393677,69a69155-af3a-4ab9-a082-58da18f85acb-000601cd,349630,69a69155-af3a-4ab9-a082-58da18f85acb-000555be,0.29999999999999993,4.000000000000049,"[349712, 349688, 349627, 373938, None]",5,"[None, None, None, None, 373939]",5,"[None, None, None, None, 2.091]",2.091,2.091,2.091,"[None, None, 349627, 373938, None]","[90, 90, 90, 90, 0]",0,72,90
99,393677,69a69155-af3a-4ab9-a082-58da18f85acb-000601cd,373938,69a69155-af3a-4ab9-a082-58da18f85acb-0005b4b2,0.13849999999999996,4.000000000000049,"[349712, 349688, None, 349630, 373939]",5,"[None, None, 349627, None, None]",5,"[None, None, 2.579, None, None]",2.579,2.579,2.579,"[None, None, None, 349630, 373939]","[90, 90, 0, 90, 90]",0,72,90
100,393677,69a69155-af3a-4ab9-a082-58da18f85acb-000601cd,373939,69a69155-af3a-4ab9-a082-58da18f85acb-0005b4b3,0.07900000000000001,4.000000000000049,"[349712, 349688, 349627, None, 373938]",5,"[None, None, None, 349630, None]",5,"[None, None, None, 2.091, None]",2.091,2.091,2.091,"[None, None, 349627, None, 373938]","[90, 90, 90, 0, 90]",0,72,90
101,393678,69a69155-af3a-4ab9-a082-58da18f85acb-000601ce,349630,69a69155-af3a-4ab9-a082-58da18f85acb-000555be,0.29999999999999993,4.000000000000049,"[349712, 349688, 373933, None, 373938]",5,"[None, None, None, 373939, None]",5,"[None, None, None, 2.091, None]",2.091,2.091,2.091,"[None, None, 373933, None, 373938]","[90, 90, 90, 0, 90]",0,72,90
102,393678,69a69155-af3a-4ab9-a082-58da18f85acb-000601ce,373933,69a69155-af3a-4ab9-a082-58da18f85acb-0005b4ad,0.2,4.000000000000049,"[349712, 349688, 349630, 373939, None]",5,"[None, None, None, None, 373938]",5,"[None, None, None, None, 2.579]",2.579,2.579,2.579,"[None, None, 349630, 373939, None]","[90, 90, 90, 90, 0]",0,72,90
103,393678,69a69155-af3a-4ab9-a082-58da18f85acb-000601ce,373939,69a69155-af3a-4ab9-a082-58da18f85acb-0005b4b3,0.07900000000000001,4.000000000000049,"[349712, 349688, None, 373933, 373938]",5,"[None, None, 349630, None, None]",5,"[None, None, 2.091, None, None]",2.091,2.091,2.091,"[None, None, None, 373933, 373938]","[90, 90, 0, 90, 90]",0,72,90
104,393678,69a69155-af3a-4ab9-a082-58da18f85acb-000601ce,373938,69a69155-af3a-4ab9-a082-58da18f85acb-0005b4b2,0.13849999999999996,4.000000000000049,"[349712, 349688, 349630, None, 373939]",5,"[None, None, None, 373933, None]",5,"[None, None, None, 2.579, None]",2.579,2.579,2.579,"[None, None, 349630, None, 373939]","[90, 90, 90, 0, 90]",0,72,90
