ifcguid,exit,height,rough_height,storey_exit,type_ifcguid,classification
2_414Bjl90PPXdZA2Pm_ZL,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2Bq14yaGX6nfJvHeT6kGT2,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2Bq14yaGX6nfJvHeT6kGT1,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2$gFCyRLn3YxmJ7kU3eXta,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2$gFCyRLn3YxmJ7kU3eXtd,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2$gFCyRLn3YxmJ7kU3eXtc,0,,,1,0h6TxHQWH8MRgS1iM36W8s,Element_Door
2$gFCyRLn3YxmJ7kU3eXjW,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2$gFCyRLn3YxmJ7kU3eXXp,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2$gFCyRLn3YxmJ7kU3eXan,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2$gFCyRLn3YxmJ7kU3eXRH,0,,,1,0h6TxHQWH8MRgS1iM36W8s,Element_Door
2$gFCyRLn3YxmJ7kU3eXBy,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2$gFCyRLn3YxmJ7kU3eXB_,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2$gFCyRLn3YxmJ7kU3eXBv,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2$gFCyRLn3YxmJ7kU3eXBw,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2$gFCyRLn3YxmJ7kU3eX1c,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2$gFCyRLn3YxmJ7kU3eX7X,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2ex5B8xFnEHumuJWUHWJOL,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2ex5B8xFnEHumuJWUHWJOA,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2ex5B8xFnEHumuJWUHWJO8,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2ex5B8xFnEHumuJWUHWJO9,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2ex5B8xFnEHumuJWUHWJOE,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2ex5B8xFnEHumuJWUHWJOF,0,,,1,0h6TxHQWH8MRgS1iM36W8s,Element_Door
2ex5B8xFnEHumuJWUHWJO2,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2ex5B8xFnEHumuJWUHWJO3,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2ex5B8xFnEHumuJWUHWJO0,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
